"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","contrast","gene_id","gene.y","product","old_locus_tag","X","path_id","main","sub","path","ecpath","Category","log.sca.pval"
"1",-3.18140761057536,1.95086415608724,-14.3970807118586,1.52860423360381e-08,1.08836621432591e-05,10.2120560111034,"WP_011132307.1",22,-15.0833645689353,1.75421086289377e-09,2.49799626876073e-06,"P2 - P1","TX50_RS03580","","putative selenate ABC transporter substrate-binding protein",NA,980,"K02044","09130 Environmental Information Processing;09180 Brite Hierarchies","09131 Membrane transport;09183 Protein families: signaling and cellular processes","02010 ABC transporters [PATH:ko02010];02000 Transporters [BR:ko02000]","K02044  phnD; phosphonate transport system substrate-binding protein","Transport/Signaling",8.75591820396482
"2",2.09205468495687,3.11113850275675,12.2448562785016,8.39154171311792e-08,3.00780197633094e-05,8.5795926587267,"WP_225866782.1",58,13.9554198637707,4.46694440331205e-09,3.06387677674992e-06,"P2 - P1","TX50_RS01970","","ABC transporter substrate-binding protein",NA,2894,"K15576","09100 Metabolism;09130 Environmental Information Processing;09180 Brite Hierarchies","09102 Energy metabolism;09131 Membrane transport;09183 Protein families: signaling and cellular processes","00910 Nitrogen metabolism [PATH:ko00910];02010 ABC transporters [PATH:ko02010];02000 Transporters [BR:ko02000]","K15576  nrtA, nasF, cynA; nitrate/nitrite transport system substrate-binding protein","Transport/Signaling",8.34998945283039
"3",-4.85077126820883,2.01566410064697,-14.5702935107306,1.34641750038485e-08,1.08836621432591e-05,10.3313941585066,"WP_071812982.1",5,-13.5322065565656,6.45479658023158e-09,3.06387677674992e-06,"P2 - P1","TX50_RS02240","","DUF4278 domain-containing protein",NA,2756,"","","","","","Other",8.19011743976084
"4",-3.23987293243408,2.72757768630981,-12.2368552707047,8.4488819559858e-08,3.00780197633094e-05,8.57295844940696,"WP_011132310.1",33,-13.2051844945435,8.63892684075737e-09,3.07545795530962e-06,"P2 - P1","TX50_RS03595","ispG","(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase",NA,995,"K03526","09100 Metabolism","09109 Metabolism of terpenoids and polyketides","00900 Terpenoid backbone biosynthesis [PATH:ko00900]","K03526  gcpE, ispG; (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase [EC:1.17.7.1 1.17.7.3]","Secondary",8.06354020382717
"5",-3.81067371368408,1.98478984832764,-11.2946914280346,1.93804637365239e-07,3.66732710009014e-05,7.75864892956967,"WP_011132179.1",33,-12.1406051928208,2.33506011508556e-08,6.65025120776368e-06,"P2 - P1","TX50_RS02910","","ferredoxin:protochlorophyllide reductase (ATP-dependent) subunit B",NA,782,"K04039","09100 Metabolism","09108 Metabolism of cofactors and vitamins","00860 Porphyrin metabolism [PATH:ko00860]","K04039  chlB; light-independent protochlorophyllide reductase subunit B [EC:1.3.7.7]","Secondary",7.6317019342354
"6",-2.55031681060791,2.13680744171143,-11.2514965525291,2.01607302560675e-07,3.66732710009014e-05,7.71967687820916,"WP_011132114.1",19,-11.6134054425572,3.92905427044406e-08,9.32495546852057e-06,"P2 - P1","TX50_RS02580","","phosphotransacetylase family protein",NA,703,"K06873","09190 Not Included in Pathway or Brite","09194 Poorly characterized","99997 Function unknown","K06873  K06873; uncharacterized protein","Other",7.40571197241201
"7",2.11917718251546,4.43591896692912,10.1334865738835,5.87109404219218e-07,7.60039810552878e-05,6.65639097669642,"WP_011133190.1",59,11.2967338612327,5.42274762210563e-08,9.60033991997031e-06,"P2 - P1","TX50_RS08365","recA","recombinase RecA",NA,2266,"K03553","09120 Genetic Information Processing;09180 Brite Hierarchies","09124 Replication and repair;09182 Protein families: genetic information processing","03440 Homologous recombination [PATH:ko03440];03400 DNA repair and recombination proteins [BR:ko03400]","K03553  recA; recombination protein RecA","Genetic",7.26578060741729
"8",-1.88743495941162,0.870627562204997,-11.0683475155769,2.38680693531787e-07,3.77645897321405e-05,7.55275825097336,"WP_011131901.1",20,-11.2538225240281,5.66803079823235e-08,9.60033991997031e-06,"P2 - P1","TX50_RS01370","","4-hydroxy-3-methylbut-2-enyl diphosphate reductase",NA,408,"K03527","09100 Metabolism","09109 Metabolism of terpenoids and polyketides","00900 Terpenoid backbone biosynthesis [PATH:ko00900]","K03527  ispH, lytB; 4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase [EC:1.17.7.4]","Secondary",7.24656779860347
"9",1.83734925587972,2.48416789372762,9.88834288600516,7.51874952622374e-07,8.9222494377855e-05,6.40833670655751,"WP_036930738.1",110,11.1880057308938,6.06763056739697e-08,9.60033991997031e-06,"P2 - P1","TX50_RS08565","","glycogen/starch/alpha-glucan phosphorylase",NA,2651,"K00688","09100 Metabolism;09140 Cellular Processes;09150 Organismal Systems;09160 Human Diseases","09101 Carbohydrate metabolism;09143 Cell growth and death;09145 Cellular community - prokaryotes;09152 Endocrine system;09167 Endocrine and metabolic disease","00500 Starch and sucrose metabolism [PATH:ko00500];04217 Necroptosis [PATH:ko04217];02026 Biofilm formation - Escherichia coli [PATH:ko02026];04910 Insulin signaling pathway [PATH:ko04910];04922 Glucagon signaling pathway [PATH:ko04922];04931 Insulin resistance [PATH:ko04931]","K00688  PYG, glgP; glycogen phosphorylase [EC:2.4.1.1]","Energy/Carbohydrate/Glycan",7.21698086945175
"10",-2.71405506134034,1.88209199905396,-10.1447717060075,5.8053053218937e-07,7.60039810552878e-05,6.66767485605871,"WP_011131781.1",18,-10.5194085895977,1.23593778277237e-07,1.68827006900371e-05,"P2 - P1","TX50_RS00745","","RNA-binding protein",NA,217,"","","","","","Other",6.90800339112321
