"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","contrast","gene_id","gene.y","product","old_locus_tag","X","path_id","main","sub","path","ecpath","Category","log.sca.pval"
"1",2.60293324788411,0.916715558369955,7.59151153957762,3.58740716581243e-06,0.00237661232175264,4.77006926864384,"WP_011132009.1",24,8.15111129560539,5.95146673564248e-07,0.000486828664423558,"C2 - C1","TX50_RS01980","","ABC transporter ATP-binding protein",NA,549,"K15578","09100 Metabolism;09130 Environmental Information Processing;09180 Brite Hierarchies","09102 Energy metabolism;09131 Membrane transport;09183 Protein families: signaling and cellular processes","00910 Nitrogen metabolism [PATH:ko00910];02010 ABC transporters [PATH:ko02010];02000 Transporters [BR:ko02000]","K15578  nrtC, nasD; nitrate/nitrite transport system ATP-binding protein [EC:7.3.2.4]","Transport/Signaling",6.2253759894486
"2",1.79564603169759,2.04648812611898,7.25398988705262,5.8668596507415e-06,0.00237661232175264,4.30574483977546,"WP_011132596.1",55,7.90323815113504,8.76324447234272e-07,0.000486828664423558,"C2 - C1","TX50_RS05125","ureC","urease subunit alpha",NA,1437,"K01428","09100 Metabolism;09160 Human Diseases","09104 Nucleotide metabolism;09105 Amino acid metabolism;09111 Xenobiotics biodegradation and metabolism;09171 Infectious disease: bacterial","00230 Purine metabolism [PATH:ko00230];00220 Arginine biosynthesis [PATH:ko00220];00791 Atrazine degradation [PATH:ko00791];05120 Epithelial cell signaling in Helicobacter pylori infection [PATH:ko05120]","K01428  ureC; urease subunit alpha [EC:3.5.1.5]","Nucleotide",6.05733507242086
"3",1.11675389607747,1.46785945892334,7.08879465442305,7.50348076089023e-06,0.00237661232175264,4.0723637138366,"WP_011133327.1",68,7.80384731490176,1.02562218628559e-06,0.000486828664423558,"C2 - C1","TX50_RS09075","acnB","bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase",NA,2496,"K01682","09100 Metabolism","09101 Carbohydrate metabolism;09102 Energy metabolism","00020 Citrate cycle (TCA cycle) [PATH:ko00020];00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630];00640 Propanoate metabolism [PATH:ko00640];00720 Carbon fixation pathways in prokaryotes [PATH:ko00720]","K01682  acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]","Energy/Carbohydrate/Glycan",5.98901259305421
"4",1.43806902567546,-0.20702444712321,7.14665343266087,6.88116618440499e-06,0.00237661232175264,4.15456722126754,"WP_011132606.1",14,7.25875044717058,2.48619601690014e-06,0.000885085782016449,"C2 - C1","TX50_RS05175","urtD","urea ABC transporter ATP-binding protein UrtD",NA,1455,"K11962","09130 Environmental Information Processing;09180 Brite Hierarchies","09131 Membrane transport;09183 Protein families: signaling and cellular processes","02010 ABC transporters [PATH:ko02010];02000 Transporters [BR:ko02000]","K11962  urtD; urea transport system ATP-binding protein","Transport/Signaling",5.60446463365812
"5",-0.988426844278973,3.74974295298258,-6.39296341424392,2.20076476437982e-05,0.00354786624969749,3.04399442433504,"WP_011133282.1",52,-7.11015151109222,3.18650327811504e-06,0.000907516133607162,"C2 - C1","TX50_RS08845","tig","trigger factor",NA,2421,"K03545","09190 Not Included in Pathway or Brite","09192 Unclassified: genetic information processing","99975 Protein processing","K03545  tig; trigger factor","Genetic",5.49668563040347
"6",1.7087459564209,-0.255776659647624,6.41840980849104,2.11340925603049e-05,0.00354786624969749,3.08290935552869,"WP_011132010.1",20,6.81903772135187,5.2263531420442e-06,0.00124038781237849,"C2 - C1","TX50_RS01985","cynS","cyanase",NA,552,"K01725","09100 Metabolism","09102 Energy metabolism","00910 Nitrogen metabolism [PATH:ko00910]","K01725  cynS; cyanate lyase [EC:4.2.1.104]","Energy/Carbohydrate/Glycan",5.28180124855827
"7",2.32117589314778,-1.72601579030355,6.245679747866,2.78704677249647e-05,0.00354786624969749,2.81678858016582,"WP_011132672.1",18,6.65782301390662,6.90796724165451e-06,0.00140527790744515,"C2 - C1","TX50_RS05585","","alpha-E domain-containing protein",NA,1514,"","","","","","Other",5.16064973057221
"8",1.49956321716309,1.34725170135498,6.02932834735668,3.96439838481431e-05,0.00403235949998255,2.47695056753449,"WP_011132607.1",20,6.39371473591242,1.09943130000867e-05,0.0017487735074487,"C2 - C1","TX50_RS05180","urtE","urea ABC transporter ATP-binding subunit UrtE",NA,1457,"K11963","09130 Environmental Information Processing;09180 Brite Hierarchies","09131 Membrane transport;09183 Protein families: signaling and cellular processes","02010 ABC transporters [PATH:ko02010];02000 Transporters [BR:ko02000]","K11963  urtE; urea transport system ATP-binding protein","Transport/Signaling",4.95883190314658
"9",1.69619687398275,-1.34694054921468,6.17640583921981,3.11772159013052e-05,0.00354786624969749,2.70876337469475,"WP_011132605.1",12,6.3754861583002,1.13566714157543e-05,0.0017487735074487,"C2 - C1","TX50_RS05170","urtC","urea ABC transporter permease subunit UrtC",NA,1453,"K11961","09130 Environmental Information Processing;09180 Brite Hierarchies","09131 Membrane transport;09183 Protein families: signaling and cellular processes","02010 ABC transporters [PATH:ko02010];02000 Transporters [BR:ko02000]","K11961  urtC; urea transport system permease protein","Transport/Signaling",4.94474893954021
"10",1.34688440958659,1.29842980702718,5.85718758884529,5.27179124561388e-05,0.00469189420859635,2.20139316101796,"WP_011133091.1",28,6.32410039976864,1.24467904055993e-05,0.0017487735074487,"C2 - C1","TX50_RS07865","","P-II family nitrogen regulator",NA,2104,"K04751","09130 Environmental Information Processing","09132 Signal transduction","02020 Two-component system [PATH:ko02020]","K04751  glnB; nitrogen regulatory protein P-II 1","Other",4.90494262357566
